period,nswprice,nswdemand,vicprice,vicdemand,transfer,target
0.09579923823823516,0.029244370074744574,0.3184051359537532,0.0023287723913642993,0.39538940047547744,0.5922285628578984,0
0.5151083681877703,0.11707600413370153,0.6364959886836498,0.0035335274693830856,0.4228502911151965,0.4149661299894584,1
0.5440097012335963,0.10911048099381429,0.37821190825985324,0.003237980724463915,0.4231744266883024,0.41579725887745195,1
0.7947210181972715,0.03759962185852227,0.34222744399388777,0.0034042983096908637,0.42286432918697786,0.4148256872399941,1
0.22833388666962914,0.03140308677549417,0.4962724871549541,0.0010781498361245923,0.31200563189179154,0.7544826459791231,1
0.7439671381888591,0.03334920054128812,0.49702575802767246,0.0014600684092270998,0.3596586445992523,0.8928538789632784,0
0.3547802760621915,0.07722945246572059,0.41878906413861544,0.0034046473075584126,0.4228719124254751,0.41487904748635407,1
0.7413434196001737,0.1233823325623989,0.5677750785228367,0.005607393348711435,0.6398854653759045,0.6602988504437602,1
0.8238881049469957,0.03885782282499843,0.7024209633798034,0.004285127736276958,0.6715117130979076,0.31424434085733544,1
1.037044747374342,0.0414839156218777,0.3970310272709776,0.0007292327466759604,0.4865983389854134,0.9204106177751099,1
0.7935106092551465,0.049221015971709296,0.5772017981604372,0.0034239733065885712,0.4231035311396997,0.41472492260418264,1
0.7504061142369686,0.08933951250042858,0.6767955388861078,0.0034534711399495234,0.4232502733790156,0.4150961316806223,1
0.6220662650719828,0.04034860669555031,0.6968546084408159,0.003932908986203188,0.5610099623430764,0.4141556287319318,1
0.545929515464405,0.05711937381605618,0.4891330780911127,0.003741925702290633,0.32841159952021054,0.4747297619908574,1
0.2950158401726748,0.03964768881404157,0.44019804007189,0.0035137277471096757,0.42257283189867056,0.4149550195815732,0
0.603327691830899,0.08202891809245458,0.5284119099665593,0.003414485266385638,0.422989246866993,0.4149273028063935,1
0.6893164125627331,0.095882371841914,0.5165602006465353,0.0034207677993144336,0.4229387166074389,0.4150889942519454,1
0.31494337110948617,0.09378825953684375,0.8584038188039362,0.00342049208730495,0.4229244491098913,0.41508139837710273,1
0.8697916610876896,0.042141656332392814,0.5205297437950387,0.002953040813240126,0.5881960729653303,0.42222085954450206,0
0.916166513823711,0.048344048346415536,0.6535798857393706,0.0034761855349338903,0.4231754043989597,0.4153125745716433,1
0.7174347752615289,0.07548025240723671,0.33967946630198026,0.0034492438753394106,0.4228829786274323,0.41490340923279345,1
0.858124057586659,0.040652688189043,0.3326015381321385,0.0029942351238390237,0.24186206504575924,0.7746813774345495,0
0.8172072069804034,0.04511949262472766,0.47435799071287954,0.003060114447937583,0.32088309926614933,0.7735145192501608,1
0.53038921326128,0.044781373780018244,0.4181293434321785,0.002191543338763923,0.23828941429989056,0.8700856009415026,1
0.068899900114708,0.045332879990362236,0.20193944359407484,0.0033704814715348106,0.42300003368084627,0.41485447945885634,0
0.09563501832824282,0.040133939341167255,0.49532450137212986,0.0030918930246395583,0.40091004707098704,0.6299312884832884,1
0.8871507985757413,0.03738653709458541,0.3806091059864784,0.0026671234000328965,0.3082513208918546,0.7962044250436257,0
0.09358507484491052,0.04791061584727321,0.4651278499947892,0.003602137221060352,0.4117901252293089,0.6586749715415184,1
